"kabupaten","wifi2019","wifi2020","wifi2021","wifi2022","toko2019","toko2020","toko2021","toko2022"
KABUPATEN BOGOR,"1","4","0","8",0,0,197,0
KABUPATEN SUKABUMI,"4","4","8","8",29,61,9,0
KABUPATEN CIANJUR,"3","4","5","8",26,27,13,0
KABUPATEN BANDUNG,"4","4","5","8",24,14,19,100
KABUPATEN GARUT,"6","4","4","8",116,48,21,24
KABUPATEN TASIKMALAYA,"4","4","5","9",4,5,6,0
KABUPATEN CIAMIS,"4","4","4","8",0,5,11,0
KABUPATEN KUNINGAN,"3","4","7","8",6,11,1,0
KABUPATEN CIREBON,"5","4","7","9",0,0,40,88
KABUPATEN MAJALENGKA,"3","4","5","8",0,31,0,0
KABUPATEN SUMEDANG,"3","4","5","8",31,9,0,49
KABUPATEN INDRAMAYU,"8","4","5","13",2,51,14,86
KABUPATEN SUBANG,"7","4","5","9",48,0,19,91
KABUPATEN PURWAKARTA,"4","4","5","8",0,0,0,18
KABUPATEN KARAWANG,"3","4","5","7",0,0,0,0
KABUPATEN BEKASI,"0","4","4","8",0,0,0,0
KABUPATEN BANDUNG BARAT,"4","4","4","8",0,0,10,0
KABUPATEN PANGANDARAN,"4","4","7","10",1,0,0,0
KOTA BOGOR,"1","4","6","8",0,55,12,85
